student_id,name,gender,date_of_birth,age,phone_number,ward,parent_availability,source_of_income,special_circumstance,discipline,enrollment_year,KCPE_score,KCPE_grade,application_id,bursary_name,application_deadline,application_date,status,requested_amount,approved_amount,disbursement_status
1,Barbara Smith,Female,2010-02-11,14,0719558635,Tuwani,2,Yes,Marginalized,Fair,2022,209,E,1,Constituency Bursary Fund,2024-06-30,2024-07-02,approved,14000,14000,Yes
2,Lisa Compton,Female,2009-10-22,14,0785151662,Saboti,1,Yes,Special Needs,Good,2019,329,C,2,Constituency Bursary Fund,2024-06-30,2023-10-21,approved,29000,29000,Yes
3,Matthew Bradley,Female,2010-01-01,14,0741242350,Tuwani,0,No,Marginalized,Fair,2022,303,C,3,Constituency Bursary Fund,2024-06-30,2023-10-13,approved,26000,26000,Yes
4,Amanda Harding,Female,2007-10-08,16,0749905178,Machewa,1,Yes,Special Needs,Poor,2022,427,A,4,Constituency Bursary Fund,2024-06-30,2024-05-14,approved,12000,12000,Yes
5,Nicole Robinson,Female,2007-11-17,16,0701119199,Kinyoro,0,No,Special Needs,Poor,2022,313,C,5,Constituency Bursary Fund,2024-06-30,2023-12-23,approved,15000,15000,Yes
6,Michael Sherman,Female,2010-06-07,14,0712415850,Machewa,2,No,Marginalized,Fair,2022,453,A,6,Constituency Bursary Fund,2024-06-30,2024-07-13,approved,16000,16000,Yes
7,Sarah Lane,Male,2010-10-30,13,0750668188,Kinyoro,0,No,Marginalized,Poor,2022,284,D,7,Constituency Bursary Fund,2024-06-30,2024-07-12,approved,10000,10000,Yes
8,Danielle Baldwin,Female,2008-09-29,15,0728003506,Matisi,0,No,Marginalized,Poor,2022,479,A,8,Constituency Bursary Fund,2024-06-30,2023-09-30,approved,11000,11000,Yes
9,Teresa Sosa,Male,2011-05-07,13,0710221854,Tuwani,0,No,None,Good,2022,395,B,9,Constituency Bursary Fund,2024-06-30,2023-12-09,approved,18000,18000,Yes
10,Ashley Powell,Male,2009-01-24,15,0766114018,Matisi,0,No,None,Fair,2021,346,C,10,Constituency Bursary Fund,2024-06-30,2023-11-29,approved,17000,17000,Yes
11,Kelly Rollins,Male,2006-07-03,18,0754400784,Saboti,2,Yes,Special Needs,Fair,2021,347,C,11,Constituency Bursary Fund,2024-06-30,2023-09-27,approved,18000,18000,Yes
12,Danielle Browning,Male,2007-01-02,17,0756812736,Matisi,1,Yes,None,Good,2020,179,E,12,Constituency Bursary Fund,2024-06-30,2023-11-20,approved,18000,18000,Yes
13,Raymond Olson,Male,2008-12-17,15,0754448213,Saboti,0,No,Special Needs,Good,2020,240,E,13,Constituency Bursary Fund,2024-06-30,2024-01-14,approved,10000,10000,Yes
14,Brian Nguyen,Male,2011-02-03,13,0727473502,Matisi,2,No,Marginalized,Poor,2020,381,B,14,Constituency Bursary Fund,2024-06-30,2024-07-16,approved,29000,29000,Yes
15,Melissa Hammond,Male,2009-04-07,15,0714115184,Machewa,2,No,Marginalized,Poor,2019,247,E,15,Constituency Bursary Fund,2024-06-30,2023-12-05,approved,28000,28000,Yes
16,Kenneth Stevens,Female,2010-05-31,14,0731520928,Machewa,0,No,Special Needs,Fair,2022,283,D,16,Constituency Bursary Fund,2024-06-30,2024-03-11,approved,30000,30000,Yes
17,Randall Wright,Female,2010-04-11,14,0784745526,Machewa,1,Yes,Special Needs,Good,2022,163,E,17,Constituency Bursary Fund,2024-06-30,2023-10-06,approved,27000,27000,Yes
18,Alexis Lopez,Male,2009-10-24,14,0715432475,Saboti,0,No,None,Poor,2019,324,C,18,Constituency Bursary Fund,2024-06-30,2024-02-20,approved,20000,20000,Yes
19,Jason Wilson,Female,2005-08-13,18,0785824537,Machewa,2,No,Marginalized,Poor,2022,479,A,19,Constituency Bursary Fund,2024-06-30,2023-12-01,approved,28000,28000,Yes
20,Laura Martin,Male,2007-04-06,17,0789803315,Saboti,1,Yes,Special Needs,Fair,2021,167,E,20,Constituency Bursary Fund,2024-06-30,2023-10-30,approved,30000,30000,Yes
21,Jackson Walton,Male,2005-09-10,18,0717867557,Machewa,1,No,None,Fair,2020,409,A,21,Constituency Bursary Fund,2024-06-30,2023-08-22,approved,10000,10000,Yes
22,Kimberly Martinez,Male,2007-10-15,16,0737814184,Saboti,1,No,None,Fair,2020,287,D,22,Constituency Bursary Fund,2024-06-30,2023-08-01,approved,25000,25000,Yes
23,Christopher Gonzalez,Male,2009-12-28,14,0704601897,Tuwani,2,Yes,Special Needs,Fair,2021,295,D,23,Constituency Bursary Fund,2024-06-30,2023-09-08,approved,25000,25000,Yes
24,Jacob Morris,Female,2008-05-17,16,0742752327,Kinyoro,1,Yes,None,Poor,2020,213,E,24,Constituency Bursary Fund,2024-06-30,2024-03-31,approved,16000,16000,Yes
25,Rodney Drake,Female,2007-08-31,16,0719905167,Matisi,0,No,Marginalized,Poor,2020,252,D,25,Constituency Bursary Fund,2024-06-30,2024-03-03,approved,15000,15000,Yes
26,Kevin Jordan,Male,2008-12-09,15,0743774766,Saboti,0,No,None,Good,2019,266,D,26,Constituency Bursary Fund,2024-06-30,2023-11-14,pending,25000,0,No
27,Matthew Castro,Male,2008-01-14,16,0757002402,Machewa,0,No,Special Needs,Good,2021,453,A,27,Constituency Bursary Fund,2024-06-30,2023-12-07,approved,26000,26000,Yes
28,Mrs. Abigail Barnes,Male,2008-07-09,16,0768652448,Saboti,2,Yes,Special Needs,Good,2019,286,D,28,Constituency Bursary Fund,2024-06-30,2023-11-17,approved,21000,21000,Yes
29,Christina Coleman,Male,2009-07-11,15,0798533708,Machewa,1,No,None,Poor,2020,272,D,29,Constituency Bursary Fund,2024-06-30,2024-02-28,approved,16000,16000,Yes
30,Marie Russell,Male,2008-11-04,15,0789610697,Saboti,1,No,None,Good,2021,412,A,30,Constituency Bursary Fund,2024-06-30,2023-08-14,approved,29000,29000,Yes
31,Ryan Walker,Female,2011-03-17,13,0790076806,Matisi,0,No,Marginalized,Fair,2021,189,E,31,Constituency Bursary Fund,2024-06-30,2024-04-11,approved,27000,27000,Yes
32,Madison Villarreal,Male,2008-07-17,16,0711999762,Matisi,1,Yes,Marginalized,Fair,2022,468,A,32,Constituency Bursary Fund,2024-06-30,2024-06-29,approved,27000,27000,Yes
33,Erik Clark,Female,2009-09-18,14,0765528813,Tuwani,2,Yes,Marginalized,Good,2020,328,C,33,Constituency Bursary Fund,2024-06-30,2024-02-03,approved,29000,29000,Yes
34,Cynthia Smith,Male,2008-04-13,16,0718645856,Matisi,1,Yes,None,Fair,2019,426,A,34,Constituency Bursary Fund,2024-06-30,2023-11-19,approved,20000,20000,Yes
35,Teresa Vargas,Male,2009-11-10,14,0737579263,Saboti,2,No,Marginalized,Fair,2021,247,E,35,Constituency Bursary Fund,2024-06-30,2023-08-12,approved,17000,17000,Yes
36,Steven Martin,Female,2009-02-09,15,0794187503,Tuwani,0,No,Marginalized,Fair,2022,494,A,36,Constituency Bursary Fund,2024-06-30,2023-12-29,approved,22000,22000,Yes
37,Linda Johnson,Female,2008-05-16,16,0762605239,Matisi,0,No,None,Good,2020,414,A,37,Constituency Bursary Fund,2024-06-30,2023-10-11,approved,24000,24000,Yes
38,Thomas Jones,Male,2006-09-05,17,0744982638,Kinyoro,2,Yes,Marginalized,Fair,2019,181,E,38,Constituency Bursary Fund,2024-06-30,2024-02-13,approved,29000,29000,Yes
39,Rebecca Flores,Female,2011-02-17,13,0754988812,Matisi,1,No,None,Poor,2019,276,D,39,Constituency Bursary Fund,2024-06-30,2024-07-15,approved,18000,18000,Yes
40,Jackie Jones,Female,2009-10-20,14,0725609558,Saboti,1,No,None,Fair,2022,192,E,40,Constituency Bursary Fund,2024-06-30,2024-03-20,approved,22000,22000,Yes
41,Terry Garza,Male,2006-10-14,17,0747312619,Kinyoro,1,Yes,Special Needs,Good,2019,198,E,41,Constituency Bursary Fund,2024-06-30,2023-12-19,approved,15000,15000,Yes
42,Lisa Hall,Male,2007-07-25,16,0757357731,Tuwani,0,No,None,Fair,2021,433,A,42,Constituency Bursary Fund,2024-06-30,2023-08-30,approved,23000,23000,Yes
43,Melissa Luna,Female,2006-10-26,17,0763746295,Saboti,1,Yes,None,Good,2020,383,B,43,Constituency Bursary Fund,2024-06-30,2023-12-24,approved,12000,12000,Yes
44,Destiny Walker,Female,2010-01-11,14,0745841092,Kinyoro,0,No,None,Fair,2019,311,C,44,Constituency Bursary Fund,2024-06-30,2023-11-12,approved,25000,25000,Yes
45,Anita Cooper,Female,2011-01-31,13,0749519958,Kinyoro,0,No,Special Needs,Poor,2022,407,A,45,Constituency Bursary Fund,2024-06-30,2024-03-21,approved,12000,12000,Yes
46,Cheryl Jones,Female,2010-11-12,13,0762281866,Machewa,2,No,None,Good,2020,477,A,46,Constituency Bursary Fund,2024-06-30,2023-09-02,approved,10000,10000,Yes
47,Daniel Estrada,Male,2010-01-15,14,0754973442,Saboti,1,Yes,None,Fair,2019,212,E,47,Constituency Bursary Fund,2024-06-30,2024-01-29,approved,19000,19000,Yes
48,Cynthia Moore,Male,2009-04-07,15,0782301116,Matisi,0,No,None,Poor,2021,287,D,48,Constituency Bursary Fund,2024-06-30,2024-03-15,approved,21000,21000,Yes
49,William Day,Female,2006-01-26,18,0709341975,Tuwani,1,No,None,Poor,2019,433,A,49,Constituency Bursary Fund,2024-06-30,2023-12-17,approved,22000,22000,Yes
50,Charles Craig,Female,2008-11-24,15,0793613014,Machewa,2,No,None,Poor,2021,397,B,50,Constituency Bursary Fund,2024-06-30,2024-05-23,approved,16000,16000,Yes
51,Amy Anderson,Male,2007-06-15,17,0776220055,Machewa,2,Yes,None,Poor,2020,355,B,51,Constituency Bursary Fund,2024-06-30,2024-04-03,approved,28000,28000,Yes
52,Mark Baker,Male,2010-12-05,13,0757560815,Kinyoro,0,No,Special Needs,Poor,2020,407,A,52,Constituency Bursary Fund,2024-06-30,2024-02-07,approved,27000,27000,Yes
53,Michael Bishop,Male,2007-10-12,16,0706240112,Matisi,0,No,Marginalized,Poor,2021,417,A,53,Constituency Bursary Fund,2024-06-30,2023-11-22,pending,26000,0,No
54,Brian Ferguson,Male,2007-12-01,16,0700638342,Saboti,1,No,Special Needs,Fair,2019,480,A,54,Constituency Bursary Fund,2024-06-30,2024-03-02,approved,17000,17000,Yes
55,Michelle Barrett,Female,2006-05-01,18,0738158339,Machewa,2,No,None,Good,2020,460,A,55,Constituency Bursary Fund,2024-06-30,2023-08-23,approved,19000,19000,Yes
56,Danielle Monroe MD,Male,2006-05-29,18,0720469356,Matisi,2,Yes,None,Fair,2019,241,E,56,Constituency Bursary Fund,2024-06-30,2023-07-26,approved,21000,21000,Yes
57,Anna Acevedo,Female,2011-01-31,13,0772292983,Machewa,0,No,None,Good,2022,251,D,57,Constituency Bursary Fund,2024-06-30,2023-09-23,approved,15000,15000,Yes
58,Alejandra Brown,Female,2009-03-10,15,0779811595,Saboti,2,No,Special Needs,Poor,2019,268,D,58,Constituency Bursary Fund,2024-06-30,2024-02-13,approved,11000,11000,Yes
59,Christopher Wilson,Female,2008-06-16,16,0729428946,Machewa,2,No,None,Good,2019,197,E,59,Constituency Bursary Fund,2024-06-30,2023-09-17,approved,26000,26000,Yes
60,Jennifer Franco,Male,2010-09-30,13,0762453049,Kinyoro,0,No,Marginalized,Fair,2020,261,D,60,Constituency Bursary Fund,2024-06-30,2024-06-09,approved,12000,12000,Yes
61,Susan Booth,Male,2007-05-28,17,0716886186,Machewa,2,Yes,Marginalized,Poor,2020,168,E,61,Constituency Bursary Fund,2024-06-30,2023-08-09,approved,25000,25000,Yes
62,Danny Wilson,Female,2008-10-04,15,0764948966,Tuwani,1,Yes,None,Good,2021,338,C,62,Constituency Bursary Fund,2024-06-30,2023-09-25,approved,12000,12000,Yes
63,James Lee,Female,2007-10-21,16,0710767471,Machewa,0,No,Special Needs,Fair,2019,353,B,63,Constituency Bursary Fund,2024-06-30,2023-10-10,pending,29000,0,No
64,Mary Davis MD,Male,2008-11-14,15,0786047726,Machewa,2,No,Marginalized,Fair,2022,338,C,64,Constituency Bursary Fund,2024-06-30,2024-06-12,approved,19000,19000,Yes
65,Michael Rose,Female,2011-03-01,13,0726376149,Machewa,1,Yes,None,Good,2020,236,E,65,Constituency Bursary Fund,2024-06-30,2023-11-14,approved,19000,19000,Yes
66,Robert Perry,Male,2010-10-13,13,0723860209,Saboti,0,No,Marginalized,Poor,2022,338,C,66,Constituency Bursary Fund,2024-06-30,2023-08-31,pending,30000,0,No
67,Casey Collins,Female,2008-04-26,16,0774225520,Tuwani,0,No,None,Good,2022,467,A,67,Constituency Bursary Fund,2024-06-30,2023-12-19,approved,17000,17000,Yes
68,Matthew Holt,Female,2007-06-01,17,0755201812,Matisi,0,No,None,Poor,2020,424,A,68,Constituency Bursary Fund,2024-06-30,2023-11-25,approved,25000,25000,Yes
69,Mrs. Sherry Fuller DDS,Female,2010-04-06,14,0762549882,Saboti,2,No,None,Good,2021,405,A,69,Constituency Bursary Fund,2024-06-30,2024-01-15,approved,26000,26000,Yes
70,Brenda Rubio,Male,2006-11-15,17,0781767255,Machewa,1,No,Special Needs,Good,2022,423,A,70,Constituency Bursary Fund,2024-06-30,2024-06-27,approved,22000,22000,Yes
71,Randy Moon,Male,2005-09-08,18,0742684001,Tuwani,0,No,None,Poor,2020,385,B,71,Constituency Bursary Fund,2024-06-30,2023-11-04,approved,25000,25000,Yes
72,Matthew Morgan,Female,2008-07-09,16,0700990237,Kinyoro,2,Yes,Special Needs,Fair,2020,371,B,72,Constituency Bursary Fund,2024-06-30,2023-09-05,approved,24000,24000,Yes
73,Katherine Blevins,Female,2007-01-01,17,0752417733,Kinyoro,1,Yes,Special Needs,Good,2020,454,A,73,Constituency Bursary Fund,2024-06-30,2024-05-08,approved,18000,18000,Yes
74,Thomas Berry,Female,2008-05-02,16,0772772115,Saboti,0,No,Marginalized,Good,2019,163,E,74,Constituency Bursary Fund,2024-06-30,2023-09-28,approved,24000,24000,Yes
75,Charles Black,Female,2008-01-04,16,0779580634,Tuwani,2,No,Special Needs,Poor,2020,343,C,75,Constituency Bursary Fund,2024-06-30,2023-08-01,approved,29000,29000,Yes
76,Sharon Barnes,Female,2008-05-31,16,0731724648,Matisi,1,No,None,Fair,2022,229,E,76,Constituency Bursary Fund,2024-06-30,2024-05-28,approved,25000,25000,Yes
77,Timothy Lewis,Male,2009-12-04,14,0726161560,Saboti,1,No,Marginalized,Fair,2019,327,C,77,Constituency Bursary Fund,2024-06-30,2023-12-23,approved,20000,20000,Yes
78,Michael Mitchell,Female,2009-03-28,15,0726917272,Matisi,0,No,Special Needs,Good,2021,181,E,78,Constituency Bursary Fund,2024-06-30,2024-02-03,pending,13000,0,No
